City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Desc
328,San Isidro,PE,-12.1167,-77.05,74.79,64,0,12.66,clear sky
329,Zorgo,BF,12.2489,-0.6158,81.3,13,8,9.64,clear sky
330,Khatanga,RU,71.9667,102.5,-4.16,99,100,5.01,overcast clouds
331,Balsas,BR,-7.5325,-46.0356,79.23,75,53,9.1,broken clouds
332,Tarime,TZ,-1.35,34.3667,67.51,73,100,2.93,overcast clouds
333,Srednekolymsk,RU,67.45,153.6833,-24.63,100,89,5.06,overcast clouds
334,Chavakachcheri,LK,9.6579,80.1643,78.01,85,30,11.88,scattered clouds
335,Canaries,ES,28.0,-15.5,60.39,52,5,14.97,haze
336,General Elizardo Aquino,PY,-24.4333,-56.7,96.49,20,0,6.42,clear sky
337,Dunedin,NZ,-45.8742,170.5036,60.8,84,100,3.0,light rain
338,Hithadhoo,MV,-0.6,73.0833,81.28,65,100,1.77,overcast clouds
339,Caribou,US,46.8606,-68.012,4.08,67,100,14.97,snow
340,Luebo,CD,-5.35,21.4167,72.09,92,100,0.85,light rain
341,Lujan,AR,-34.5703,-59.105,86.68,48,96,1.99,overcast clouds
342,Peno,RU,56.9262,32.7426,21.33,88,100,9.06,overcast clouds
343,Taiobeiras,BR,-15.8078,-42.2331,76.62,73,100,3.71,overcast clouds
